--io/total- ---system-- ---paging-- ----interrupts--- ---load-avg--- ---procs--- ----swap--- ----system---- --epoch---
 read  writ| int   csw |  in   out |  60    61    62 | 1m   5m  15m |run blk new| used  free|     time     |  epoch   
   0     0 |1105   671 |   0     0 |   0     0   770 |   0 0.12 0.19|  0   0   0|   0     0 |28-05 18:47:22|1590691643
   0     0 | 832   587 |   0     0 |   0     0   594 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:23|1590691644
   0     0 | 699   419 |   0     0 |   0     0   507 |   0 0.11 0.19|2.0   0   0|   0     0 |28-05 18:47:24|1590691645
   0     0 | 547   319 |   0     0 |   0     0   279 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:25|1590691646
   0     0 | 889   449 |   0     0 |   0     0   458 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:26|1590691647
   0     0 | 591   293 |   0     0 |   0     0   317 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:27|1590691648
   0     0 | 398   215 |   0     0 |   0     0   219 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:28|1590691649
   0  86.0 | 667   406 |   0     0 |   0    42   325 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:29|1590691650
   0     0 | 867   474 |   0     0 |   0     0   521 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:30|1590691651
   0     0 | 872   412 |   0     0 |   0     0   518 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:31|1590691652
   0     0 | 882   473 |   0     0 |   0     0   551 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:32|1590691653
   0     0 | 764   370 |   0     0 |   0     0   465 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:33|1590691654
   0     0 | 922   547 |   0     0 |   0     0   653 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:34|1590691655
   0     0 | 766   480 |   0     0 |   0     0   477 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:35|1590691656
   0  4.00 | 919   513 |   0     0 |   0     2   600 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:36|1590691657
   0     0 | 947   528 |   0     0 |   0     0   608 |   0 0.11 0.19|  0   0   0|   0     0 |28-05 18:47:37|1590691658
   0     0 | 637   374 |   0     0 |   0     0   453 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:38|1590691659
   0  8.00 | 802   417 |   0     0 |   0     4   534 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:39|1590691660
   0     0 | 997   578 |   0     0 |   0     0   655 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:40|1590691661
   0     0 | 926   496 |   0     0 |   0     0   588 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:41|1590691662
   0     0 | 970   490 |   0     0 |   0     0   549 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:42|1590691663
   0     0 | 254   126 |   0     0 |   0     0   148 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:43|1590691664
   0     0 | 716   360 |   0     0 |   0     0   407 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:44|1590691665
   0  1972 |1896  1358 |   0     0 |   0   980   480 |   0 0.11 0.18|  0 1.0   0|   0     0 |28-05 18:47:45|1590691666
   0   996 |1570   812 |   0     0 |   0   494   577 |   0 0.11 0.18|  0 1.0   0|   0     0 |28-05 18:47:46|1590691667
   0  58.0 | 626   321 |   0     0 |   0    29   319 |   0 0.11 0.18|  0   0   0|   0     0 |28-05 18:47:47|1590691668
   0     0 | 695   409 |   0     0 |   0     0   346 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:48|1590691669
   0     0 | 702   404 |   0     0 |   0     0   360 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:49|1590691670
   0     0 | 711   347 |   0     0 |   0     0   434 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:50|1590691671
   0     0 | 710   405 |   0     0 |   0     0   379 |   0 0.10 0.18|1.0   0   0|   0     0 |28-05 18:47:51|1590691672
   0     0 | 699   477 |   0     0 |   0     0   427 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:52|1590691673
   0     0 | 679   353 |   0     0 |   0     0   395 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:53|1590691674
   0     0 | 758   458 |   0     0 |   0     0   387 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:54|1590691675
   0     0 | 603   331 |   0     0 |   0     0   342 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:55|1590691676
   0     0 | 727   412 |   0     0 |   0     0   417 |   0 0.10 0.18|2.0   0   0|   0     0 |28-05 18:47:56|1590691677
   0     0 | 690   451 |   0     0 |   0     0   303 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:57|1590691678
   0     0 | 463   257 |   0     0 |   0     0   256 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:58|1590691679
   0     0 | 712   383 |   0     0 |   0     0   415 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:47:59|1590691680
   0     0 | 610   399 |   0     0 |   0     0   421 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:00|1590691681
   0     0 |1523   876 |   0     0 |   0     0   958 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:01|1590691682
   0     0 |1254   641 |   0     0 |   0     0   680 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:02|1590691683
   0     0 |1292   644 |   0     0 |   0     0   738 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:03|1590691684
   0     0 |1179   672 |   0     0 |   0     0   718 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:04|1590691685
   0     0 |1101   620 |   0     0 |   0     0   777 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:05|1590691686
   0  4.00 |1751   918 |   0     0 |   0     2   963 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:06|1590691687
   0  38.0 |1627   777 |   0     0 |   0    17   865 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:07|1590691688
   0     0 |1325   665 |   0     0 |   0     0   690 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:08|1590691689
   0     0 |1578   794 |   0     0 |   0     0   856 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:09|1590691690
   0     0 |1360   857 |   0     0 |   0     0   947 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:10|1590691691
   0     0 |1575   767 |   0     0 |   0     0   853 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:11|1590691692
   0  4.00 |1256   791 |   0     0 |   0     2   798 |   0 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:12|1590691693
   0     0 | 295   157 |   0     0 |   0     0   181 |   0 0.09 0.18|  0   0   0|   0     0 |28-05 18:48:13|1590691694
   0     0 | 554   289 |   0     0 |   0     0   305 |   0 0.09 0.18|  0   0   0|   0     0 |28-05 18:48:14|1590691695
   0     0 | 690   356 |   0     0 |   0     0   396 |   0 0.09 0.18|2.0   0   0|   0     0 |28-05 18:48:15|1590691696
   0     0 | 799   464 |   0     0 |   0     0   448 |   0 0.09 0.18|  0   0   0|   0     0 |28-05 18:48:16|1590691697
   0  1080 |1365  1062 |   0     0 |   0   540   391 |   0 0.09 0.18|1.0   0   0|   0     0 |28-05 18:48:17|1590691698
   0  1100 |1406   733 |   0     0 |   0   546   466 |0.08 0.11 0.18|  0 1.0   0|   0     0 |28-05 18:48:18|1590691699
   0   880 |1128   649 |   0     0 |   0   437   432 |0.08 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:19|1590691700
   0     0 | 742   421 |   0     0 |   0     0   463 |0.08 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:20|1590691701
   0     0 | 773   417 |   0     0 |   0     0   422 |0.08 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:21|1590691702
   0     0 | 688   404 |   0     0 |   0     0   376 |0.08 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:22|1590691703
   0     0 | 735   363 |   0     0 |   0     0   444 |0.07 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:23|1590691704
   0     0 | 620   416 |   0     0 |   0     0   346 |0.07 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:24|1590691705
   0     0 | 580   428 |   0     0 |   0     0   355 |0.07 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:25|1590691706
   0     0 | 642   440 |   0     0 |   0     0   383 |0.07 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:26|1590691707
   0     0 | 585   398 |   0     0 |   0     0   332 |0.07 0.11 0.18|  0   0   0|   0     0 |28-05 18:48:27|1590691708
   0     0 | 411   278 |   0     0 |   0     0   251 |0.07 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:28|1590691709
   0     0 | 534   319 |   0     0 |   0     0   377 |0.07 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:29|1590691710
   0     0 | 729   464 |   0     0 |   0     0   440 |0.07 0.10 0.18|1.0   0   0|   0     0 |28-05 18:48:30|1590691711
   0     0 | 593   410 |   0     0 |   0     0   313 |0.07 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:31|1590691712
   0     0 |1594   845 |   0     0 |   0     0   905 |0.07 0.10 0.18|  0   0   0|   0     0 |28-05 18:48:32|1590691713
   0     0 |1720   937 |   0     0 |   0     0   925 |0.22 0.14 0.19|  0   0   0|   0     0 |28-05 18:48:33|1590691714
   0     0 |1194   596 |   0     0 |   0     0   744 |0.22 0.14 0.19|  0   0   0|   0     0 |28-05 18:48:34|1590691715
4.00     0 |2422  2128 |   0     0 |   0     2   410 |0.22 0.14 0.19|2.0   0  19|   0     0 |28-05 18:48:35|1590691716
   0  4.00 |1746  1283 |   0     0 |   0     2     0 |0.22 0.14 0.19|3.0   0   0|   0     0 |28-05 18:48:36|1590691717
   0     0 | 802   600 |   0     0 |   0     0     0 |0.22 0.14 0.19|1.0   0   0|   0     0 |28-05 18:48:37|1590691718
   0     0 | 616   371 |   0     0 |   0     0     0 |0.28 0.15 0.19|1.0   0   0|   0     0 |28-05 18:48:38|1590691719
   0     0 | 611   362 |   0     0 |   0     0     0 |0.28 0.15 0.19|1.0   0   0|   0     0 |28-05 18:48:39|1590691720
   0     0 | 651   404 |   0     0 |   0     0     0 |0.28 0.15 0.19|1.0   0   0|   0     0 |28-05 18:48:40|1590691721
   0     0 | 826   580 |   0     0 |   0     0     0 |0.28 0.15 0.19|1.0   0   0|   0     0 |28-05 18:48:41|1590691722
   0     0 |1021   784 |   0     0 |   0     0     0 |0.28 0.15 0.19|1.0   0   0|   0     0 |28-05 18:48:42|1590691723
   0     0 |1320  1092 |   0     0 |   0     0     0 |0.26 0.15 0.19|1.0   0   0|   0     0 |28-05 18:48:43|1590691724
   0     0 |1968  1960 |   0     0 |   0     0     0 |0.26 0.15 0.19|1.0   0 1.0|   0     0 |28-05 18:48:44|1590691725
2.00  2.00 |1432  1727 |   0     0 |   0     2     7 |0.26 0.15 0.19|2.0   0   0|   0     0 |28-05 18:48:45|1590691726
2.00  2.00 | 650  1206 |   0     0 |   0     2     1 |0.26 0.15 0.19|1.0   0 2.0|   0     0 |28-05 18:48:46|1590691727
6.00     0 | 323    98 |   0     0 |   0     3     0 |0.26 0.15 0.19|1.0   0   0|   0     0 |28-05 18:48:47|1590691728
   0     0 | 292    26 |   0     0 |   0     0     0 |0.32 0.16 0.20|1.0   0   0|   0     0 |28-05 18:48:48|1590691729
   0     0 | 290    32 |   0     0 |   0     0     0 |0.32 0.16 0.20|1.0   0   0|   0     0 |28-05 18:48:49|1590691730
   0  1036 | 821   595 |   0     0 |   0   516     0 |0.32 0.16 0.20|1.0   0   0|   0     0 |28-05 18:48:50|1590691731
   0     0 | 285    20 |   0     0 |   0     0     0 |0.32 0.16 0.20|1.0   0   0|   0     0 |28-05 18:48:51|1590691732
   0     0 | 271    18 |   0     0 |   0     0     0 |0.32 0.16 0.20|1.0   0   0|   0     0 |28-05 18:48:52|1590691733
   0     0 | 286    28 |   0     0 |   0     0     0 |0.38 0.18 0.20|1.0   0   0|   0     0 |28-05 18:48:53|1590691734
   0     0 | 274    16 |   0     0 |   0     0     0 |0.38 0.18 0.20|1.0   0   0|   0     0 |28-05 18:48:54|1590691735
   0     0 | 271    22 |   0     0 |   0     0     0 |0.38 0.18 0.20|1.0   0   0|   0     0 |28-05 18:48:55|1590691736
   0     0 | 274    18 |   0     0 |   0     0     0 |0.38 0.18 0.20|1.0   0   0|   0     0 |28-05 18:48:56|1590691737
   0     0 | 288    32 |   0     0 |   0     0     0 |0.38 0.18 0.20|1.0   0   0|   0     0 |28-05 18:48:57|1590691738
   0     0 | 286    20 |   0     0 |   0     0     0 |0.43 0.19 0.21|1.0   0   0|   0     0 |28-05 18:48:58|1590691739
   0     0 | 268    20 |   0     0 |   0     0     0 |0.43 0.19 0.21|1.0   0   0|   0     0 |28-05 18:48:59|1590691740
   0     0 | 271    16 |   0     0 |   0     0     0 |0.43 0.19 0.21|1.0   0   0|   0     0 |28-05 18:49:00|1590691741
   0     0 | 292    33 |   0     0 |   0     0     0 |0.43 0.19 0.21|1.0   0   0|   0     0 |28-05 18:49:01|1590691742
   0     0 | 277    16 |   0     0 |   0     0     0 |0.43 0.19 0.21|1.0   0   0|   0     0 |28-05 18:49:02|1590691743
   0     0 | 270    21 |   0     0 |   0     0     0 |0.47 0.20 0.21|1.0   0   0|   0     0 |28-05 18:49:03|1590691744
   0     0 | 269    16 |   0     0 |   0     0     0 |0.47 0.20 0.21|1.0   0   0|   0     0 |28-05 18:49:04|1590691745
   0     0 | 331    57 |   0     0 |   0     0     0 |0.47 0.20 0.21|1.0   0   0|   0     0 |28-05 18:49:05|1590691746
   0  8.00 | 306    26 |   0     0 |   0     4     0 |0.47 0.20 0.21|1.0   0   0|   0     0 |28-05 18:49:06|1590691747
   0     0 | 295    28 |   0     0 |   0     0     0 |0.47 0.20 0.21|1.0   0   0|   0     0 |28-05 18:49:07|1590691748
   0     0 | 284    22 |   0     0 |   0     0     0 |0.52 0.22 0.21|1.0   0   0|   0     0 |28-05 18:49:08|1590691749
   0     0 | 295    32 |   0     0 |   0     0     0 |0.52 0.22 0.21|1.0   0   0|   0     0 |28-05 18:49:09|1590691750
   0     0 | 270    14 |   0     0 |   0     0     0 |0.52 0.22 0.21|1.0   0   0|   0     0 |28-05 18:49:10|1590691751
   0  32.0 | 318    29 |   0     0 |   0    15     2 |0.52 0.22 0.21|1.0   0   0|   0     0 |28-05 18:49:11|1590691752
   0     0 | 301    33 |   0     0 |   0     0     0 |0.52 0.22 0.21|1.0   0   0|   0     0 |28-05 18:49:12|1590691753
   0     0 | 294    31 |   0     0 |   0     0     0 |0.55 0.23 0.22|1.0   0   0|   0     0 |28-05 18:49:13|1590691754
   0     0 | 275    22 |   0     0 |   0     0     0 |0.55 0.23 0.22|1.0   0   0|   0     0 |28-05 18:49:14|1590691755
   0     0 | 276    22 |   0     0 |   0     0     0 |0.55 0.23 0.22|1.0   0   0|   0     0 |28-05 18:49:15|1590691756
   0   818 | 991   467 |   0     0 |   0   406     0 |0.55 0.23 0.22|1.0   0   0|   0     0 |28-05 18:49:16|1590691757
   0     0 | 306    36 |   0     0 |   0     0     0 |0.55 0.23 0.22|1.0   0   0|   0     0 |28-05 18:49:17|1590691758
   0     0 | 285    24 |   0     0 |   0     0     0 |0.59 0.24 0.22|1.0   0   0|   0     0 |28-05 18:49:18|1590691759
   0     0 | 273    20 |   0     0 |   0     0     0 |0.59 0.24 0.22|1.0   0   0|   0     0 |28-05 18:49:19|1590691760
   0     0 | 278    23 |   0     0 |   0     0     0 |0.59 0.24 0.22|1.0   0   0|   0     0 |28-05 18:49:20|1590691761
   0  1048 |1205   615 |   0     0 |   0   526     0 |0.59 0.24 0.22|2.0   0   0|   0     0 |28-05 18:49:21|1590691762
   0  1106 |1025   328 |   0     0 |   0   550     0 |0.59 0.24 0.22|1.0 1.0   0|   0     0 |28-05 18:49:22|1590691763
   0   686 | 721   190 |   0     0 |   0   341     0 |0.70 0.27 0.23|1.0   0   0|   0     0 |28-05 18:49:23|1590691764
   0     0 | 279    22 |   0     0 |   0     0     0 |0.70 0.27 0.23|1.0   0   0|   0     0 |28-05 18:49:24|1590691765
   0     0 | 295    32 |   0     0 |   0     0     0 |0.70 0.27 0.23|1.0   0   0|   0     0 |28-05 18:49:25|1590691766
   0     0 | 270    16 |   0     0 |   0     0     0 |0.70 0.27 0.23|1.0   0   0|   0     0 |28-05 18:49:26|1590691767
   0     0 | 276    23 |   0     0 |   0     0     0 |0.70 0.27 0.23|1.0   0   0|   0     0 |28-05 18:49:27|1590691768
   0     0 | 289    26 |   0     0 |   0     0     0 |0.73 0.29 0.24|1.0   0   0|   0     0 |28-05 18:49:28|1590691769
   0  6.00 |1438  1113 |   0     0 |   0     3     0 |0.73 0.29 0.24|1.0   0  73|   0     0 |28-05 18:49:29|1590691770
   0  2.00 |1046   728 |   0     0 |   0     1     0 |0.73 0.29 0.24|1.0   0  22|   0     0 |28-05 18:49:30|1590691771
   0  4.00 |2074  1749 |   0     0 |   0     2     0 |0.73 0.29 0.24|1.0   0  97|   0     0 |28-05 18:49:31|1590691772
   0  2.00 |1505  1159 |   0     0 |   0     1     0 |0.73 0.29 0.24|1.0   0  67|   0     0 |28-05 18:49:32|1590691773
   0  2.00 |2673  1930 |   0     0 |   0     1     0 |0.75 0.30 0.24|2.0   0  91|   0     0 |28-05 18:49:33|1590691774
   0     0 |1418  1649 |   0     0 |   0     0     0 |0.75 0.30 0.24|3.0   0 2.0|   0     0 |28-05 18:49:34|1590691775
   0     0 | 772   666 |   0     0 |   0     0     0 |0.75 0.30 0.24|2.0   0 1.0|   0     0 |28-05 18:49:35|1590691776
   0     0 | 637   262 |   0     0 |   0     0     0 |0.75 0.30 0.24|2.0   0   0|   0     0 |28-05 18:49:36|1590691777
   0  6.00 | 582   163 |   0     0 |   0     3     0 |0.75 0.30 0.24|2.0   0   0|   0     0 |28-05 18:49:37|1590691778
   0     0 | 574   147 |   0     0 |   0     0     0 |0.85 0.33 0.25|2.0   0   0|   0     0 |28-05 18:49:38|1590691779
   0     0 | 595   186 |   0     0 |   0     0     0 |0.85 0.33 0.25|2.0   0   0|   0     0 |28-05 18:49:39|1590691780
   0     0 | 579   142 |   0     0 |   0     0     0 |0.85 0.33 0.25|2.0   0   0|   0     0 |28-05 18:49:40|1590691781
   0     0 | 588   170 |   0     0 |   0     0     0 |0.85 0.33 0.25|2.0   0   0|   0     0 |28-05 18:49:41|1590691782
   0     0 | 580   158 |   0     0 |   0     0     0 |0.85 0.33 0.25|2.0   0   0|   0     0 |28-05 18:49:42|1590691783
   0     0 | 571   137 |   0     0 |   0     0     0 |0.94 0.35 0.26|2.0   0   0|   0     0 |28-05 18:49:43|1590691784
   0     0 | 552   103 |   0     0 |   0     0     0 |0.94 0.35 0.26|2.0   0   0|   0     0 |28-05 18:49:44|1590691785
   0     0 | 545   125 |   0     0 |   0     0     0 |0.94 0.35 0.26|2.0   0   0|   0     0 |28-05 18:49:45|1590691786
   0     0 | 553   126 |   0     0 |   0     0     0 |0.94 0.35 0.26|2.0   0   0|   0     0 |28-05 18:49:46|1590691787
   0     0 | 557   124 |   0     0 |   0     0     0 |0.94 0.35 0.26|2.0   0   0|   0     0 |28-05 18:49:47|1590691788
   0     0 | 542    92 |   0     0 |   0     0     0 |1.03 0.38 0.27|2.0   0   0|   0     0 |28-05 18:49:48|1590691789
   0  8.00 |2374  2048 |   0     0 |   0     4     0 |1.03 0.38 0.27|3.0   0  64|   0     0 |28-05 18:49:49|1590691790
   0     0 |2059  2153 |   0     0 |   0     0     0 |1.03 0.38 0.27|2.0   0 5.0|   0     0 |28-05 18:49:50|1590691791
   0     0 | 667   415 |   0     0 |   0     0     0 |1.03 0.38 0.27|3.0   0 1.0|   0     0 |28-05 18:49:51|1590691792
   0     0 | 613   234 |   0     0 |   0     0     0 |1.03 0.38 0.27|2.0   0   0|   0     0 |28-05 18:49:52|1590691793
   0     0 | 792   885 |   0     0 |   0     0     0 |1.19 0.43 0.29|3.0   0   0|   0     0 |28-05 18:49:53|1590691794
   0   602 |1248   886 |   0     0 |   0   301     0 |1.19 0.43 0.29|3.0   0   0|   0     0 |28-05 18:49:54|1590691795
   0     0 | 661   240 |   0     0 |   0     0     0 |1.19 0.43 0.29|2.0   0   0|   0     0 |28-05 18:49:55|1590691796
   0     0 | 724   429 |   0     0 |   0     0     0 |1.19 0.43 0.29|2.0   0   0|   0     0 |28-05 18:49:56|1590691797
   0     0 | 607   190 |   0     0 |   0     0     0 |1.19 0.43 0.29|2.0   0   0|   0     0 |28-05 18:49:57|1590691798
   0     0 | 572   195 |   0     0 |   0     0     0 |1.25 0.45 0.30|2.0   0   0|   0     0 |28-05 18:49:58|1590691799
   0     0 | 529    71 |   0     0 |   0     0     0 |1.25 0.45 0.30|2.0   0   0|   0     0 |28-05 18:49:59|1590691800
   0     0 | 546   123 |   0     0 |   0     0     0 |1.25 0.45 0.30|2.0   0   0|   0     0 |28-05 18:50:00|1590691801
   0     0 | 537    80 |   0     0 |   0     0     0 |1.25 0.45 0.30|2.0   0   0|   0     0 |28-05 18:50:01|1590691802
   0     0 | 550   103 |   0     0 |   0     0     0 |1.25 0.45 0.30|2.0   0   0|   0     0 |28-05 18:50:02|1590691803
   0     0 | 529    72 |   0     0 |   0     0     0 |1.39 0.49 0.31|2.0   0   0|   0     0 |28-05 18:50:03|1590691804
   0   962 |1393   744 |   0     0 |   0   481     0 |1.39 0.49 0.31|2.0   0   0|   0     0 |28-05 18:50:04|1590691805
12.0  2.00 | 753   536 |   0     0 |   0     6     0 |1.39 0.49 0.31|1.0   0  36|   0     0 |28-05 18:50:05|1590691806
18.0  6.00 |3024  2794 |   0     0 |   0    12     0 |1.39 0.49 0.31|2.0   0 182|   0     0 |28-05 18:50:06|1590691807
   0  4.00 |2253  1704 |   0     0 |   0     2     2 |1.39 0.49 0.31|2.0 1.0  81|   0     0 |28-05 18:50:07|1590691808
   0  4.00 | 636   216 |   0     0 |   0     2     0 |1.36 0.50 0.31|2.0   0   0|   0     0 |28-05 18:50:08|1590691809
   0  40.0 | 670   222 |   0     0 |   0    20     0 |1.36 0.50 0.31|2.0   0   0|   0     0 |28-05 18:50:09|1590691810
   0     0 | 650   223 |   0     0 |   0     0     0 |1.36 0.50 0.31|1.0   0   0|   0     0 |28-05 18:50:10|1590691811
   0     0 | 631   217 |   0     0 |   0     0     0 |1.36 0.50 0.31|1.0   0   0|   0     0 |28-05 18:50:11|1590691812
   0     0 | 669   259 |   0     0 |   0     0     0 |1.36 0.50 0.31|2.0   0   0|   0     0 |28-05 18:50:12|1590691813
   0     0 | 635   220 |   0     0 |   0     0     0 |1.41 0.53 0.32|2.0   0   0|   0     0 |28-05 18:50:13|1590691814
   0     0 | 690   264 |   0     0 |   0     0     0 |1.41 0.53 0.32|2.0   0   0|   0     0 |28-05 18:50:14|1590691815
   0     0 | 625   212 |   0     0 |   0     0     0 |1.41 0.53 0.32|2.0   0   0|   0     0 |28-05 18:50:15|1590691816
   0     0 | 643   211 |   0     0 |   0     0     0 |1.41 0.53 0.32|1.0   0   0|   0     0 |28-05 18:50:16|1590691817
44.0  2.00 | 834   510 |   0     0 |   0    23     0 |1.41 0.53 0.32|1.0   0  36|   0     0 |28-05 18:50:17|1590691818
   0  4.00 |2431  2122 |   0     0 |   0     2     0 |1.38 0.54 0.33|1.0   0 104|   0     0 |28-05 18:50:18|1590691819
   0  2.00 |1590  1052 |   0     0 |   0     1     0 |1.38 0.54 0.33|1.0   0  67|   0     0 |28-05 18:50:19|1590691820
   0  10.0 |1283  1045 |   0     0 |   0     4     0 |1.38 0.54 0.33|1.0   0  62|   0     0 |28-05 18:50:20|1590691821
   0     0 | 472    36 |   0     0 |   0     0     0 |1.38 0.54 0.33|2.0   0   0|   0     0 |28-05 18:50:21|1590691822
   0     0 | 514    32 |   0     0 |   0     0     0 |1.38 0.54 0.33|2.0   0   0|   0     0 |28-05 18:50:22|1590691823
2.00     0 | 508    27 |   0     0 |   0     1     0 |1.43 0.56 0.34|2.0   0   0|   0     0 |28-05 18:50:23|1590691824
   0     0 | 505    28 |   0     0 |   0     0     0 |1.43 0.56 0.34|2.0   0   0|   0     0 |28-05 18:50:24|1590691825
   0     0 | 509    36 |   0     0 |   0     0     0 |1.43 0.56 0.34|2.0   0   0|   0     0 |28-05 18:50:25|1590691826
   0     0 | 509    22 |   0     0 |   0     0     4 |1.43 0.56 0.34|2.0   0   0|   0     0 |28-05 18:50:26|1590691827
   0     0 | 506    26 |   0     0 |   0     0     0 |1.43 0.56 0.34|2.0   0   0|   0     0 |28-05 18:50:27|1590691828
   0     0 | 509    28 |   0     0 |   0     0     0 |1.47 0.58 0.35|2.0   0   0|   0     0 |28-05 18:50:28|1590691829
   0     0 | 507    30 |   0     0 |   0     0     0 |1.47 0.58 0.35|2.0   0   0|   0     0 |28-05 18:50:29|1590691830
   0     0 | 506    22 |   0     0 |   0     0     0 |1.47 0.58 0.35|2.0   0   0|   0     0 |28-05 18:50:30|1590691831
