"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","S650SV068",,,,"User:","root"
"Cmdline:","dstat --noheaders --output dstat/dstat_output_05-24-2020-17-52-48.csv",,,,"Date:","24 May 2020 17:52:48 -03"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
25.500,0,74.500,0,0,0,0,360,0,0,0,429,242
24.750,0.500,74.750,0,0,0,16384,300,0,0,0,428,239
25,0.250,74.750,0,0,0,0,240,0,0,0,395,204
24.938,0.249,74.564,0.249,0,0,20480,360,0,0,0,440,243
24.750,0.500,74.750,0,0,0,12288,849,0,0,0,449,267
24.561,0.501,74.937,0,0,0,0,512,0,0,0,405,242
24.812,0.251,74.937,0,0,0,0,272,0,0,0,382,194
25.187,0.249,74.564,0,0,0,0,420,0,0,0,400,229
24.500,0.500,75,0,0,0,28672,360,0,0,0,402,228
24.812,0.752,70.426,4.010,0,0,76718080,600,0,0,0,494,319
24.750,0.500,74.500,0.250,0,0,23994368,180,0,0,0,429,218
24.938,0.249,74.813,0,0,0,0,420,0,0,0,429,228
24.812,0.251,74.937,0,0,0,0,240,0,0,0,399,203
25,0.250,74.750,0,0,0,40960,300,0,0,0,426,247
24.750,0.250,75,0,0,0,0,60,0,0,0,377,190
24.561,0.501,74.937,0,0,0,0,120,0,0,0,394,251
24.812,0.251,74.937,0,0,0,0,240,0,0,0,373,205
24.439,0.748,74.813,0,0,0,0,120,0,0,0,417,222
24.812,0.251,74.937,0,0,0,20480,60,0,0,0,402,209
25.187,0.249,74.564,0,0,0,0,180,0,0,0,408,208
24.311,0.752,74.937,0,0,0,24576,120,0,0,0,402,199
24.938,0.249,74.813,0,0,0,0,120,0,0,0,401,212
24.372,0.503,75.126,0,0,0,0,60,0,0,0,377,181
24.750,0.500,74.750,0,0,0,20480,120,0,0,0,405,219
24.311,0.752,74.937,0,0,0,0,120,0,0,0,387,195
24.688,0.499,74.813,0,0,0,0,120,0,0,0,403,210
24.750,0.500,74.750,0,0,0,36864,240,0,0,0,412,209
25,0.250,74.750,0,0,0,0,120,0,0,0,402,213
24.250,0.750,74.750,0.250,0,0,20480,180,0,0,0,409,217
25,0.250,74.750,0,0,0,0,180,0,0,0,413,221
25.124,0.498,74.378,0,0,0,0,212,0,0,0,439,241
24.561,0.501,74.937,0,0,0,0,332,0,0,0,408,215
24.812,0.251,74.937,0,0,0,16384,272,0,0,0,409,210
24.688,0.748,74.564,0,0,0,20480,120,0,0,0,410,230
24.750,0.250,75,0,0,0,8192,120,0,0,0,390,185
25,0.250,74.750,0,0,0,16384,120,0,0,0,400,203
24.561,0.501,74.937,0,0,0,0,120,0,0,0,391,199
25.187,0.249,74.564,0,0,0,0,120,0,0,0,397,202
24.750,0.250,75,0,0,0,28672,180,0,0,0,423,235
24.812,0.251,74.937,0,0,0,0,120,0,0,0,402,210
25.062,0.993,68.983,4.963,0,0,85106688,120,0,0,0,513,267
24.938,0.499,74.564,0,0,0,13254656,240,0,0,0,434,224
24.938,0.499,74.564,0,0,0,0,180,0,0,0,400,200
24.938,0.249,74.564,0.249,0,0,32768,240,0,0,0,418,223
24.561,0.501,74.937,0,0,0,0,120,0,0,0,388,196
25.187,0.249,74.564,0,0,0,8192,120,0,0,0,461,259
24.500,0.750,74.750,0,0,0,0,303,0,0,0,383,193
25.063,0,74.937,0,0,0,0,240,0,0,0,395,200
24.876,0.498,74.627,0,0,0,20480,180,0,0,0,425,231
24.874,0,75.126,0,0,0,0,240,0,0,0,406,215
24.250,1,74.750,0,0,0,0,60,0,0,0,389,190
24.500,0.750,74.750,0,0,0,0,120,0,0,0,398,206
25.187,0,74.813,0,0,0,0,240,0,0,0,402,190
24.750,0.500,74.750,0,0,0,20480,180,0,0,0,419,233
25,0.250,74.750,0,0,0,0,120,0,0,0,391,190
24.561,0.501,74.937,0,0,0,0,240,0,0,0,412,213
25.062,0.496,74.442,0,0,0,36864,420,0,0,0,422,213
24.874,0,75.126,0,0,0,0,240,0,0,0,419,217
24.500,0.750,74.750,0,0,0,20480,180,0,0,0,424,235
25,0.250,74.750,0,0,0,0,300,0,0,0,408,221
24.500,0.750,74.750,0,0,0,0,480,0,0,0,475,277
24.561,0.501,74.937,0,0,0,0,540,0,0,0,432,243
24.750,0.500,74.750,0,0,0,16384,300,0,0,0,422,222
24.500,0.500,75,0,0,0,20480,420,0,0,0,421,235
24.311,2.005,73.684,0,0,0,36864,240,0,0,0,1296,1258
21.250,4.750,73.750,0.250,0,0,36864,360,0,0,0,1470,1598
22.250,3,74.750,0,0,0,12288,300,0,0,0,412,217
22.250,4,73.750,0,0,0,32768,420,0,0,0,1414,1427
27.889,6.281,65.829,0,0,0,114688,240,0,0,0,2084,4541
23.058,8.271,68.421,0.251,0,0,86016,300,0,0,0,2107,1741
45.844,5.542,48.615,0,0,0,32768,240,0,0,0,3408,4357
98,1.500,0.500,0,0,0,74809344,300,0,0,0,1403,1104
98.747,0.501,0.752,0,0,0,0,180,0,0,0,1200,584
98.750,0,1.250,0,0,0,0,240,0,0,0,1151,427
97.733,0.756,1.511,0,0,0,155648,180,0,0,0,1131,420
99.500,0,0.500,0,0,0,36864,360,0,0,0,1137,405
98.997,0.752,0.251,0,0,0,0,485,0,0,0,1130,367
98.997,0.501,0.501,0,0,0,94208,423,0,0,0,1186,511
98.997,0,1.003,0,0,0,0,300,0,0,0,1130,384
99.252,0.499,0.249,0,0,0,0,360,0,0,0,1138,409
99.499,0.251,0.251,0,0,0,20480,332,0,0,0,1135,374
99,0.250,0.750,0,0,0,0,332,0,0,0,1111,330
49.875,6.266,43.860,0,0,0,73728,212,0,0,0,3388,4384
93.467,4.271,2.261,0,0,0,0,120,0,0,0,1762,1671
98.250,1,0.750,0,0,0,0,240,0,0,0,1324,521
99.244,0,0.756,0,0,0,0,240,0,0,0,1144,440
84.500,1.250,14.250,0,0,0,65536,363,0,0,0,1428,1185
99.248,0.251,0.501,0,0,0,0,180,0,0,0,1376,954
99.499,0,0.501,0,0,0,36864,120,0,0,0,1149,426
98.496,0.752,0.752,0,0,0,0,120,0,0,0,1122,420
94.250,2.250,3.500,0,0,0,0,60,0,0,0,1131,466
99.500,0.500,0,0,0,0,0,120,0,0,0,1094,245
88.471,4.010,7.519,0,0,0,188416,180,0,0,0,1073,322
40.648,3.491,55.860,0,0,0,32768,120,0,0,0,1534,1447
23.058,4.261,72.682,0,0,0,98304,120,0,0,0,2530,2812
22.670,5.290,71.788,0.252,0,0,65536,120,0,0,0,2558,3074
67.883,0.973,31.144,0,0,0,0,120,0,0,0,1109,829
71.216,0.496,28.288,0,0,0,60018688,120,0,0,0,1239,919
69.608,0.490,29.902,0,0,0,0,60,0,0,0,1175,966
72.010,0.254,27.735,0,0,0,36864,120,0,0,0,1151,952
71.891,0.498,27.612,0,0,0,0,120,0,0,0,1204,982
69.825,0.249,29.925,0,0,0,0,180,0,0,0,1141,892
71.046,0.487,28.467,0,0,0,184320,120,0,0,0,1248,1027
65.909,0.758,33.333,0,0,0,0,120,0,0,0,1089,868
71.320,0.254,28.426,0,0,0,0,120,0,0,0,1154,924
41.457,3.769,54.774,0,0,0,36864,120,0,0,0,1916,2023
20.707,5.303,73.990,0,0,0,32768,60,0,0,0,1672,1915
16.459,11.970,71.322,0.249,0,0,184320,180,0,0,0,2208,1849
24.433,9.068,66.499,0,0,0,53248,180,0,0,0,1576,1684
94.750,0.250,5,0,0,0,0,240,0,0,0,1045,259
100,0,0,0,0,0,0,60,0,0,0,1071,212
99.750,0.250,0,0,0,0,40960,120,0,0,0,1073,204
100,0,0,0,0,0,139264,120,0,0,0,1076,234
100,0,0,0,0,0,40960,120,0,0,0,1080,218
99.751,0.249,0,0,0,0,0,60,0,0,0,1064,195
87.500,1.750,10.750,0,0,0,0,120,0,0,0,1685,1008
22.166,5.038,72.796,0,0,0,98304,120,0,0,0,2818,3248
20.500,6.250,73,0.250,0,0,131072,240,0,0,0,2015,2200
17.794,5.764,76.441,0,0,0,32768,60,0,0,0,2173,2531
18.454,8.978,72.569,0,0,0,32768,120,0,0,0,1968,1684
37.940,9.045,53.015,0,0,0,32768,540,0,0,0,1258,1226
90.773,1.247,7.980,0,0,0,40960,180,0,0,0,1650,953
20.698,7.232,71.820,0.249,0,0,290816,420,0,0,0,2817,3258
40.250,5.500,54.250,0,0,0,32768,240,0,0,0,2014,2089
23.940,2.494,73.566,0,0,0,32768,423,0,0,0,1219,1166
17.955,11.222,70.574,0.249,0,0,32768,180,0,0,0,1752,1937
26.566,4.010,69.424,0,0,0,98304,60,0,0,0,3600,4154
24.069,6.203,69.231,0.496,0,0,241664,120,0,0,0,3095,3651
22.111,3.015,74.623,0.251,0,0,2965504,300,0,0,0,748,587
25.063,0,74.937,0,0,0,0,540,0,0,0,454,245
25,0.250,74.750,0,0,0,0,240,0,0,0,412,220
25,0,75,0,0,0,0,300,0,0,0,403,211
25.063,0,74.937,0,0,0,0,300,0,0,0,414,214
25.250,0,74.250,0.500,0,0,155648,240,0,0,0,433,254
25.187,0.249,74.564,0,0,0,0,180,0,0,0,403,206
25.063,0,74.937,0,0,0,0,300,0,0,0,428,232
24.938,0.249,74.813,0,0,0,0,300,0,0,0,376,226
